Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
2011,Não Sei Como Ela Consegue,Ficção,Estrangeira,Imagem,99
2011,Não Tenha Medo Do Escuro,Ficção,Estrangeira,Vinny Filmes,111
2011,Natimorto,Ficção,Brasileira,Camisa Treze,5
2011,No Olho Da Rua,Ficção,Brasileira,Leão Filmes,6
2011,Noite De Ano Novo,Ficção,Estrangeira,Warner,164
2011,O Amor Chega Tarde,Ficção,Estrangeira,Esfera Produções,3
2011,O Casamento Do Meu Ex,Ficção,Estrangeira,Paris,11
2011,O Céu Sobre Os Ombros,Ficção,Brasileira,Vitrine Filmes,7
2011,O Dia Em Que Eu Não Nasci,Ficção,Estrangeira,Serendip,3
2011,O Discurso Do Rei,Ficção,Estrangeira,Paris,162
2011,O Filme Dos Espíritos,Ficção,Brasileira,Paris,160
2011,O Garoto Da Bicicleta,Ficção,Estrangeira,Imovision,18
2011,O Gringo,Documentário,Estrangeira,Pipa Produções,9
2011,O Guarda,Ficção,Estrangeira,Sony,4
2011,O Homem Ao Lado,Ficção,Estrangeira,Imovision,6
2011,O Homem Do Futuro,Ficção,Brasileira,Paramount,291
2011,O Mágico,Animação,Estrangeira,Playarte,12
2011,O Mineiro E O Queijo,Documentário,Brasileira,Espaço Filmes,1
2011,O Mistério Da Rua 7,Ficção,Estrangeira,Playarte,23
2011,O Noivo Da Minha Melhor Amiga,Ficção,Estrangeira,Playarte,186
2011,O Palhaço,Ficção,Brasileira,Imagem,267
2011,O Planeta Dos Macacos: A Origem,Ficção,Estrangeira,Fox,551
2011,O Poder E A Lei,Ficção,Estrangeira,Imagem,59
2011,O Preço Do Amanhã,Ficção,Estrangeira,Fox,126
2011,O Primeiro Que Disse,Ficção,Estrangeira,Imovision,5
2011,O Retorno De Johnny English,Ficção,Estrangeira,Universal,191
2011,O Retrato De Dorian Gray,Ficção,Estrangeira,Europa,28
2011,O Ritual,Ficção,Estrangeira,Warner,150
2011,O Samba Que Mora Em Mim,Documentário,Brasileira,Pandora Filmes,5
2011,O Sequestro De Um Herói,Ficção,Estrangeira,Serendip,12
2011,O Turista,Ficção,Estrangeira,Sony,267
2011,O Último Dançarino De Mao,Ficção,Estrangeira,Califórnia,7
2011,O Último Voo Do Flamingo,Ficção,Brasileira,Videofilmes,7
2011,O Vencedor,Ficção,Estrangeira,Imagem,124
2011,O Zelador Animal,Ficção,Estrangeira,Sony,232
2011,Onde Está A Felicidade?,Ficção,Brasileira,Fox,170
2011,Operação Presente,Animação,Estrangeira,Sony,243
2011,Os 3,Ficção,Brasileira,Warner,25
2011,Os Agentes Do Destino,Ficção,Estrangeira,Universal,93
2011,Os Especialistas,Ficção,Estrangeira,Imagem,157
2011,Os Monstros,Ficção,Brasileira,Vitrine Filmes,5
2011,Os Muppets,Ficção,Estrangeira,Disney,ND
2011,Os Nomes Do Amor,Ficção,Estrangeira,Vinny Filmes,20
2011,Os Pinguins Do Papai,Ficção,Estrangeira,Fox,257
2011,Os Residentes,Ficção,Brasileira,Vitrine Filmes,1
2011,Os Smurfs,Animação,Estrangeira,Sony,562
2011,Os Três Mosqueteiros,Ficção,Estrangeira,Playarte,449
2011,Outubro,Ficção,Estrangeira,Filmes Da Mostra,2
2011,Pacific,Documentário,Brasileira,Vitrine Filmes,2
2011,Padre,Ficção,Estrangeira,Sony,277
2011,Palavra Cantada 3D,Videomusical,Brasileira,Cinemark Brasil,53
2011,Pânico 4,Ficção,Estrangeira,Imagem,301
2011,Para Poucos,Ficção,Estrangeira,Imovision,1
2011,Passe Livre,Ficção,Estrangeira,Warner,151
2011,Passione,Documentário,Estrangeira,Paris,2
2011,Piratas Do Caribe: Navegando Em Águas Misteriosas,Ficção,Estrangeira,Disney,767
2011,Poema De Salvação,Ficção,Estrangeira,Canzión Filmes,ND
2011,Poesia,Ficção,Estrangeira,Imovision,3
2011,Ponto Final,Ficção,Brasileira,Pipa Produções,2
2011,Porta A Porta – A Política Em Dois Tempos,Documentário,Brasileira,Zéfiro Produções,ND
2011,Potiche: Esposa Troféu,Ficção,Estrangeira,Imovision,23
2011,Premonição 5,Ficção,Estrangeira,Warner,303
2011,Professora Sem Classe,Ficção,Estrangeira,Sony,183
2011,Pronta Para Amar,Ficção,Estrangeira,Imagem,60
2011,Pronto Para Recomeçar,Ficção,Estrangeira,Playarte,15
2011,Prova De Artista,Documentário,Brasileira,Formosa Filmes,9
2011,Qual Seu Número?,Ficção,Estrangeira,Fox,72
2011,Qualquer Gato,Ficção,Brasileira,Disney,206
2011,Que Mais Posso Querer,Ficção,Estrangeira,Petrini,5
2011,Quebradeiras,Documentário,Brasileira,Raiz Distribuidora,1
2011,Quebrando O Tabu,Documentário,Brasileira,Espaço Filmes,16
2011,Quero Matar Meu Chefe,Ficção,Estrangeira,Warner,110
2011,Rádio Nacional,Documentário,Brasileira,Business Telecom,1
2011,Rango,Animação,Estrangeira,Paramount,336
2011,Redenção,Ficção,Estrangeira,Imagem,20
2011,Reencontrando A Felicidade,Ficção,Estrangeira,Paris,50
2011,Reféns,Ficção,Estrangeira,Imagem,198
2011,Reidy – A Construção Da Utopia,Documentário,Brasileira,Espaço Filmes,11
2011,Reino Dos Felinos,Documentário,Estrangeira,Disney,28
2011,Restrepo,Documentário,Estrangeira,Europa,10
2011,Ricky,Ficção,Estrangeira,Califórnia,1
2011,Rio,Animação,Estrangeira,Fox,1.016
2011,Riscado,Ficção,Brasileira,Filmes Do Estação,5
2011,Rock Brasília - Era De Ouro,Documentário,Brasileira,Downtown,60
2011,Românticos Anônimos,Ficção,Estrangeira,Imovision,10
2011,Roubo Nas Alturas,Ficção,Estrangeira,Universal,304
2011,Santa Paciência,Ficção,Estrangeira,Imagem,16
2011,Santuário,Ficção,Estrangeira,Paris,410
2011,Saturno Em Oposição,Ficção,Estrangeira,Petrini,8
2011,"Se Beber, Não Case! 2",Ficção,Estrangeira,Warner,327
2011,"Se Não Nós, Quem?",Ficção,Estrangeira,Imovision,6
2011,Sem Limites,Ficção,Estrangeira,Imagem,122
2011,Sem Saída,Ficção,Estrangeira,Paris,359
2011,Sequestro,Documentário,Brasileira,Downtown,2
2011,Sexo Sem Compromisso,Ficção,Estrangeira,Paramount,144
2011,Simples Mortais,Ficção,Brasileira,Polifilmes,2
2011,Singularidades De Uma Rapariga Loira,Ficção,Estrangeira,Filmes Da Mostra,2
2011,Sobrenatural,Ficção,Estrangeira,Playarte,98
2011,Solidão E Fé,Documentário,Brasileira,Miração Filmes,3
2011,Splice – A Nova Espécie,Ficção,Estrangeira,Califórnia,30
2011,Submarino,Ficção,Estrangeira,Lume Produções Cinematográficas,3
2011,Sucker Punch - Mundo Surreal,Ficção,Estrangeira,Warner,183
