Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
2009,Jonas Brothers 3D: O Show,Documentário,Estrangeira,Sony,50
2009,Juízo Final,Ficção,Estrangeira,Europa,67
2009,Julie E Julia,Ficção,Estrangeira,Sony,54
2009,Katyn,Ficção,Estrangeira,Moviemobz,3
2009,Kfz-1348,Documentário,Brasileira,Rec Produtores,1
2009,Killshot - Tiro Certo,Ficção,Estrangeira,Playarte,37
2009,Kurt Cobain - Retrato De Uma Ausência,Documentário,Estrangeira,Pandora Filmes,1
2009,Lanchonete Olympia,Ficção,Estrangeira,Moviemobz,3
2009,Lição De Amor,Ficção,Estrangeira,Califórnia,3
2009,Loki - Arnaldo Baptista,Documentário,Brasileira,Canal Brasil,18
2009,Lua Nova,Ficção,Estrangeira,Paris,841
2009,Manhã Transfigurada,Ficção,Brasileira,Pandora Filmes,1
2009,Marido Por Acaso,Ficção,Estrangeira,Playarte,123
2009,Matadores De Vampiras Lésbicas,Ficção,Estrangeira,Imagem,141
2009,Mataram Irmã Dorothy,Documentário,Estrangeira,Moviemobz,5
2009,Mesa De Bar Onde Tudo Acontece,Ficção,Brasileira,Mirasul,3
2009,Michael Jackson This Is It,Documentário,Estrangeira,Sony,231
2009,Milagre Em Sta. Anna,Ficção,Estrangeira,Califórnia,2
2009,Milk - A Voz Da Igualdade,Ficção,Estrangeira,Universal,50
2009,Minhas Adoráveis Ex-Namoradas,Ficção,Estrangeira,Playarte,124
2009,Mistéryos,Ficção,Brasileira,Panda Filmes,1
2009,Monstros Vs Alienígenas,Animação,Estrangeira,Paramount,370
2009,Moscou,Documentário,Brasileira,Videofilmes,8
2009,Nada Vai Nos Separar,Documentário,Brasileira,G7 Cinema,3
2009,Naufrágio - Mistério E Morte Na Catástrofe Do Príncipe De Astúrias,Documentário,Brasileira,Master Shot Produções,ND
2009,Ninho Vazio,Ficção,Estrangeira,Imovision,15
2009,No Meu Lugar,Ficção,Brasileira,Downtown/Videofilmes,12
2009,Noivas Em Guerra,Ficção,Estrangeira,Fox,162
2009,"Nova York, Eu Te Amo",Ficção,Estrangeira,Califórnia,17
2009,Novidades No Amor,Ficção,Estrangeira,Imagem,85
2009,Novo Século Americano,Documentário,Estrangeira,Moviemobz,3
2009,O Amor Pede Passagem,Ficção,Estrangeira,Imagem,32
2009,O Caçador,Ficção,Estrangeira,Imovision,7
2009,O Casamento De Rachel,Ficção,Estrangeira,Sony,15
2009,O Contador De Histórias,Ficção,Brasileira,Warner,93
2009,O Corajoso Ratinho Despereaux,Animação,Estrangeira,Universal,130
2009,O Curioso Caso De Benjamin Button,Ficção,Estrangeira,Warner,202
2009,O Desinformante,Ficção,Estrangeira,Warner,32
2009,O Dia Em Que A Terra Parou,Ficção,Estrangeira,Fox,354
2009,O Diário De Sintra,Documentário,Brasileira,Moviemobz/Riofilme,3
2009,O Equilibrista,Documentário,Estrangeira,Califórnia,2
2009,O Exterminador Do Futuro: A Salvação,Ficção,Estrangeira,Sony,497
2009,O Fantástico Senhor Raposo,Animação,Estrangeira,Fox,5
2009,O Fim Da Picada,Ficção,Brasileira,Cinegrama,1
2009,O Fundo Do Mar,Ficção,Estrangeira,Panda Filmes,1
2009,O Golfinho - A História De Um Sonhador,Animação,Estrangeira,Fox,62
2009,O Grilo Feliz E Os Insetos Gigantes,Animação,Brasileira,Fox,122
2009,O Grupo Baader Meinhof,Ficção,Estrangeira,Imagem,12
2009,O Guerreiro Genghis Khan,Ficção,Estrangeira,Europa,22
2009,O Leitor,Ficção,Estrangeira,Imagem,68
2009,O Lutador,Ficção,Estrangeira,Paris,52
2009,O Menino Da Porteira,Ficção,Brasileira,Sony,280
2009,O Milagre De Santa Luzia,Documentário,Brasileira,Miração Filmes,6
2009,O Nome Dela É Sabine,Documentário,Estrangeira,Filmes Do Estação,2
2009,O Poder Do Soul,Documentário,Estrangeira,Sony,1
2009,O Sequestro Do Metrô 123,Ficção,Estrangeira,Sony,183
2009,O Solista,Ficção,Estrangeira,Universal,25
2009,O Visitante,Ficção,Estrangeira,Moviemobz,6
2009,Operação Valquíria,Ficção,Estrangeira,Fox,233
2009,Os Falsários,Ficção,Estrangeira,Europa,27
2009,Os Fantasmas De Scrooge,Animação,Estrangeira,Sony,41
