,Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
673,2011,Assassino A Preço Fixo,Ficção,Estrangeira,Imagem,91
298,2009,Uma Prova De Amor,Ficção,Estrangeira,Playarte,89
71,2009,Bruno,Ficção,Estrangeira,Sony,89
475,2010,Missão Quase Impossível,Ficção,Estrangeira,Imagem,88
124,2009,Fama,Ficção,Estrangeira,Playarte,88
702,2011,Como Você Sabe,Ficção,Estrangeira,Imagem,86
762,2011,Glee 3D O Filme,Documentário,Estrangeira,Fox,86
194,2009,Novidades No Amor,Ficção,Estrangeira,Imagem,85
393,2010,Coincidências Do Amor,Ficção,Estrangeira,Imagem,84
236,2009,Pequenos Invasores,Ficção,Estrangeira,Fox,82
107,2009,Efeito Borboleta: Revelação,Ficção,Estrangeira,Imagem,81
647,2011,A Pele Que Habito,Ficção,Estrangeira,Paris,81
120,2009,"Eu Te Amo, Cara",Ficção,Estrangeira,Paramount,81
150,2009,High School Band,Ficção,Estrangeira,Paris,81
228,2009,Pacto Secreto,Ficção,Estrangeira,Paris,80
130,2009,Força Policial,Ficção,Estrangeira,Playarte,80
707,2011,Contra O Tempo,Ficção,Estrangeira,Imagem,80
128,2009,Foi Apenas Um Sonho,Ficção,Estrangeira,Paramount,80
61,2009,Barry & A Banda Das Minhocas,Animação,Estrangeira,Imagem,79
374,2010,Avatar: Edição Especial,Ficção,Estrangeira,Fox,79
92,2009,Delírios De Consumo De Becky Bloom,Ficção,Estrangeira,Sony,78
754,2011,Foo Fighters Back And Forth + Show Foo Fighters 3D,Documentário,Estrangeira,Mobz,78
277,2009,The Spirit - O Filme,Ficção,Estrangeira,Sony,77
453,2010,Juntos Pelo Acaso,Ficção,Estrangeira,Warner,77
319,2010,400 Contra 1 – A História Do Comando Vermelho,Ficção,Brasileira,Playarte,76
448,2010,Invictus,Ficção,Estrangeira,Warner,76
20,2009,A Órfã,Ficção,Estrangeira,Warner,76
110,2009,Embarque Imediato,Ficção,Brasileira,Europa/Riofilme,76
370,2010,Astro Boy,Animação,Estrangeira,Paris,76
425,2010,Eu E Meu Guarda-Chuva,Ficção,Brasileira,Fox,75
782,2011,Jogo De Poder,Ficção,Estrangeira,Paris,74
233,2009,Passageiros,Ficção,Estrangeira,Imagem,74
611,2010,Vício Frenético,Ficção,Estrangeira,Imagem,72
616,2010,Você Vai Conhecer O Homem Dos Seus Sonhos,Ficção,Estrangeira,Paris,72
879,2011,Qual Seu Número?,Ficção,Estrangeira,Fox,72
34,2009,Abraços Partidos,Ficção,Estrangeira,Universal,70
512,2010,O Mundo Encantado De Gigi,Animação,Estrangeira,Playarte,70
577,2010,Solomon Kane - O Caçador De Demônios,Ficção,Estrangeira,Paris,69
214,2009,O Leitor,Ficção,Estrangeira,Imagem,68
534,2010,Os Outros Caras,Ficção,Estrangeira,Sony,68
166,2009,Juízo Final,Ficção,Estrangeira,Europa,67
149,2009,Heróis,Ficção,Estrangeira,Paris,66
284,2009,Trama Internacional,Ficção,Estrangeira,Sony,65
356,2010,Amor Por Acaso,Ficção,Brasileira,Playarte,65
731,2011,Dylan Dog E As Criaturas Da Noite,Ficção,Estrangeira,Playarte,64
547,2010,Preciosa: Uma História De Esperança,Ficção,Estrangeira,Playarte,64
638,2011,A Fera,Ficção,Estrangeira,Imagem,64
237,2009,Perdido Pra Cachorro,Ficção,Estrangeira,Sony,64
808,2011,Namorados Para Sempre,Ficção,Estrangeira,Paris,63
427,2010,Federal,Ficção,Brasileira,Europa/Riofilme,63
399,2010,Contatos De 4º Grau,Ficção,Estrangeira,Imagem,63
621,2011,127 Horas,Ficção,Estrangeira,Fox,63
327,2010,A Estrada,Ficção,Estrangeira,Paris,62
210,2009,O Golfinho - A História De Um Sonhador,Animação,Estrangeira,Fox,62
339,2010,A Ressaca,Ficção,Estrangeira,Imagem,62
408,2010,Deu A Louca Nos Bichos,Ficção,Estrangeira,Paris,61
382,2010,Cadê Os Morgans,Ficção,Estrangeira,Sony,61
60,2009,Aventuras Do Surf Ii,Documentário,Brasileira,Universal,61
628,2011,A Árvore Da Vida,Ficção,Estrangeira,Imagem,61
306,2009,Verônika Decide Morrer,Ficção,Estrangeira,Imagem,61
423,2010,Entre Irmãos,Ficção,Estrangeira,Imagem,60
896,2011,Rock Brasília - Era De Ouro,Documentário,Brasileira,Downtown,60
23,2009,A Pedra Mágica,Ficção,Estrangeira,Warner,60
259,2009,Sex Drive: Rumo Ao Sexo,Ficção,Estrangeira,Paris,60
342,2010,A Sétima Alma,Ficção,Estrangeira,Imagem,60
876,2011,Pronta Para Amar,Ficção,Estrangeira,Imagem,60
835,2011,O Poder E A Lei,Ficção,Estrangeira,Imagem,59
43,2009,"Alô, Alô, Terezinha!",Documentário,Brasileira,Imovision,58
418,2010,Em Busca De Uma Nova Chance,Ficção,Estrangeira,Playarte,57
474,2010,Minhas Mães E Meu Pai,Ficção,Estrangeira,Imagem,57
377,2010,Batalha Por T.E.R.A.,Animação,Estrangeira,Playarte,56
516,2010,O Preço Da Traição,Ficção,Estrangeira,Playarte,56
719,2011,Deixe-Me Entrar,Ficção,Estrangeira,Paramount,56
357,2010,Amor Por Contrato,Ficção,Estrangeira,Califórnia,55
614,2010,Virus,Ficção,Estrangeira,Playarte,55
167,2009,Julie E Julia,Ficção,Estrangeira,Sony,54
556,2010,Rec 2,Ficção,Estrangeira,Playarte,53
863,2011,Palavra Cantada 3D,Videomusical,Brasileira,Cinemark Brasil,53
437,2010,Halloween 2,Ficção,Estrangeira,Playarte,52
538,2010,Pânico Na Neve,Ficção,Estrangeira,Playarte,52
215,2009,O Lutador,Ficção,Estrangeira,Paris,52
272,2009,Tempos De Paz,Ficção,Brasileira,Downtown,51
372,2010,Atração Perigosa,Ficção,Estrangeira,Warner,51
581,2010,Surpresa Em Dobro,Ficção,Estrangeira,Sony,51
104,2009,Duplicidade,Ficção,Estrangeira,Universal,50
165,2009,Jonas Brothers 3D: O Show,Documentário,Estrangeira,Sony,50
503,2010,O Golpista Do Ano,Ficção,Estrangeira,Imagem,50
618,2010,Zona Verde,Ficção,Estrangeira,Universal,50
575,2010,Soberano – Seis Vezes São Paulo,Documentário,Brasileira,G7 Cinema,50
480,2010,Nanny Mcphee E As Lições Mágicas,Ficção,Estrangeira,Universal,50
183,2009,Milk - A Voz Da Igualdade,Ficção,Estrangeira,Universal,50
888,2011,Reencontrando A Felicidade,Ficção,Estrangeira,Paris,50
725,2011,Diário De Um Banana 2: Rodrick É O Cara,Ficção,Estrangeira,Fox,50
44,2009,Amantes,Ficção,Estrangeira,Playarte,50
162,2009,Jogando Com Prazer,Ficção,Estrangeira,Imagem,50
276,2009,Terror Na Antártida,Ficção,Estrangeira,Warner,49
324,2010,A Caixa,Ficção,Estrangeira,Imagem,49
246,2009,Recém Chegada,Ficção,Estrangeira,Imagem,49
249,2009,Romeu: O Vira-Lata Atrapalhado,Animação,Estrangeira,Paris,49
320,2010,5X Favela – Agora Por Nós Mesmos,Ficção,Brasileira,Sony/Riofilme,48
337,2010,À Prova De Morte,Ficção,Estrangeira,Playarte,48
422,2010,Enterrado Vivo,Ficção,Estrangeira,Califórnia,48
160,2009,Iron Maiden: Flight 666,Documentário,Estrangeira,Moviemobz,47
619,2010,Zumbilândia,Ficção,Estrangeira,Sony,47
137,2009,Garota Infernal,Ficção,Estrangeira,Fox,46
642,2011,A Inquilina,Ficção,Estrangeira,Paris,46
455,2010,Kick-Ass - Quebrando Tudo,Ficção,Estrangeira,Universal,45
485,2010,Ninja Assassino,Ficção,Estrangeira,Warner,44
742,2011,Estamos Juntos,Ficção,Brasileira,Imagem,43
447,2010,Instinto De Vingança,Ficção,Estrangeira,Playarte,43
546,2010,Ponyo – Uma Amizade Que Veio Do Mar,Animação,Estrangeira,Playarte,42
436,2010,Guerra Ao Terror,Ficção,Estrangeira,Imagem,42
286,2009,Um Ato De Liberdade,Ficção,Estrangeira,Flashstar Filmes,42
672,2011,Assalto Em Dose Dupla,Ficção,Estrangeira,Califórnia,42
106,2009,É Proibido Fumar,Ficção,Brasileira,Playarte,42
802,2011,Meu País,Ficção,Brasileira,Imovision,42
6,2009,À Deriva,Ficção,Brasileira,Universal,41
644,2011,A Minha Versão Do Amor,Ficção,Estrangeira,Califórnia,41
225,2009,Os Fantasmas De Scrooge,Animação,Estrangeira,Sony,41
127,2009,Flordelis - Basta Uma Palavra Para Mudar,Ficção,Brasileira,Serendip/Art Films,41
441,2010,Homens Em Fúria,Ficção,Estrangeira,Imagem,40
275,2009,Território Restrito,Ficção,Estrangeira,Imagem,40
484,2010,Nine,Ficção,Estrangeira,Sony,40
240,2009,Por Amor,Ficção,Estrangeira,Imagem,40
72,2009,Budapeste,Ficção,Brasileira,Imagem,40
387,2010,Centurião,Ficção,Estrangeira,Playarte,38
733,2011,Elvis E Madona,Ficção,Brasileira,Pipa Produções,38
429,2010,Flor Do Deserto,Ficção,Estrangeira,Imovision,38
4,2009,500 Dias Com Ela,Ficção,Estrangeira,Fox,37
565,2010,Segurança Nacional,Ficção,Brasileira,Europa,37
369,2010,As Múmias Do Faraó,Ficção,Estrangeira,Imagem,37
170,2009,Killshot - Tiro Certo,Ficção,Estrangeira,Playarte,37
728,2011,Doce Vingança,Ficção,Estrangeira,Paris,36
105,2009,Dúvida,Ficção,Estrangeira,Sony,36
332,2010,A Jovem Rainha Vitória,Ficção,Estrangeira,Europa,36
307,2009,Vigaristas,Ficção,Estrangeira,Paris,35
687,2011,Broder,Ficção,Brasileira,Sony,35
537,2010,Pandorum,Ficção,Estrangeira,Imagem,34
77,2009,Che 2 - A Guerrilha,Ficção,Estrangeira,Europa,34
76,2009,Che,Ficção,Estrangeira,Europa,34
794,2011,Mamonas Para Sempre,Documentário,Brasileira,Europa,34
793,2011,Malu De Bicicleta,Ficção,Brasileira,Downtown/Riofilme,33
287,2009,Um Cara Muito Louco...Apaixonado,Ficção,Estrangeira,Califórnia,33
115,2009,Entre Os Muros Da Escola,Ficção,Estrangeira,Imovision,33
554,2010,Querido John,Ficção,Estrangeira,Sony,33
801,2011,Melancolia,Ficção,Estrangeira,Califórnia,32
531,2010,Os Homens Que Não Amavam As Mulheres,Ficção,Estrangeira,Imagem,32
196,2009,O Amor Pede Passagem,Ficção,Estrangeira,Imagem,32
522,2010,O Solteirão,Ficção,Estrangeira,Califórnia,32
682,2011,Biutiful,Ficção,Estrangeira,Paris,32
202,2009,O Desinformante,Ficção,Estrangeira,Warner,32
691,2011,Caminho Da Liberdade,Ficção,Estrangeira,Califórnia,31
634,2011,A Condenação,Ficção,Estrangeira,Vinny Filmes,30
28,2009,A Trilha,Ficção,Estrangeira,Imagem,30
278,2009,Tinha Que Ser Você,Ficção,Estrangeira,Imagem,30
515,2010,O Pequeno Nicolau,Ficção,Estrangeira,Imovision,30
326,2010,A Epidemia,Ficção,Estrangeira,Imagem,30
273,2009,Terra,Documentário,Estrangeira,Sony,30
497,2010,O Escritor Fantasma,Ficção,Estrangeira,Paris,30
912,2011,Splice – A Nova Espécie,Ficção,Estrangeira,Califórnia,30
379,2010,Brilho De Uma Paixão,Ficção,Estrangeira,Playarte,29
410,2010,Direito De Amar,Ficção,Estrangeira,Paris,29
80,2009,Cine Cocoricó: As Aventuras Na Cidade,Ficção,Brasileira,Moviemobz,29
578,2010,Sonhos Roubados,Ficção,Brasileira,Europa,29
591,2010,Tudo Pode Dar Certo,Ficção,Estrangeira,Califórnia,29
148,2009,Herbert De Perto,Documentário,Brasileira,Imagem,29
839,2011,O Retrato De Dorian Gray,Ficção,Estrangeira,Europa,28
151,2009,"Home - Nosso Planeta, Nossa Casa",Documentário,Estrangeira,Europa,28
891,2011,Reino Dos Felinos,Documentário,Estrangeira,Disney,28
667,2011,As Doze Estrelas,Ficção,Brasileira,Polifilmes/Lapfilme,27
388,2010,Cheri,Ficção,Estrangeira,Califórnia,27
224,2009,Os Falsários,Ficção,Estrangeira,Europa,27
520,2010,O Segredo Dos Seus Olhos,Ficção,Estrangeira,Europa,26
96,2009,Diário Proibido,Ficção,Estrangeira,Playarte,26
125,2009,Fiel - O Filme,Documentário,Brasileira,G7 Cinema,25
791,2011,Lope,Ficção,Brasileira,Warner,25
850,2011,Os 3,Ficção,Brasileira,Warner,25
701,2011,Como Arrasar Um Coração,Ficção,Estrangeira,Imovision,25
345,2010,A Última Música,Ficção,Estrangeira,Sony,25
84,2009,Confissões De Uma Garota De Programa,Ficção,Estrangeira,Paris,25
787,2011,Late Bloomers – O Amor Não Tem Fim,Ficção,Estrangeira,Serendip,25
221,2009,O Solista,Ficção,Estrangeira,Universal,25
527,2010,Onde Vivem Os Monstros,Ficção,Estrangeira,Warner,24
262,2009,Simonal - Ninguém Sabe O Duro Que Dei,Documentário,Brasileira,Moviemobz/Riofilme,24
384,2010,"Carros Usados, Vendedores Pirados",Ficção,Estrangeira,Europa,24
329,2010,A Fita Branca,Ficção,Estrangeira,Imovision,23
873,2011,Potiche: Esposa Troféu,Ficção,Estrangeira,Imovision,23
831,2011,O Mistério Da Rua 7,Ficção,Estrangeira,Playarte,23
396,2010,Como Esquecer,Ficção,Brasileira,Europa,22
213,2009,O Guerreiro Genghis Khan,Ficção,Estrangeira,Europa,22
154,2009,Hotel Atlântico,Ficção,Brasileira,Espaço Filmes,22
606,2010,Uma Noite Em 67,Documentário,Brasileira,Videofilmes,22
797,2011,Marcha Da Vida,Documentário,Brasileira,Europa,21
756,2011,Forças Especiais,Ficção,Estrangeira,Playarte,21
679,2011,Bebês,Documentário,Estrangeira,Europa,21
887,2011,Redenção,Ficção,Estrangeira,Imagem,20
65,2009,Bela Noite Para Voar,Ficção,Brasileira,Universal,20
605,2010,Uma Mãe Em Apuros,Ficção,Estrangeira,Paris,20
855,2011,Os Nomes Do Amor,Ficção,Estrangeira,Vinny Filmes,20
263,2009,Simplesmente Feliz,Ficção,Estrangeira,Imagem,20
526,2010,Olhos Azuis,Ficção,Brasileira,Imagem,20
613,2010,Vidas Que Se Cruzam,Ficção,Estrangeira,Paris,20
452,2010,José E Pilar,Documentário,Brasileira,Espaço Filmes,20
608,2010,Utopia E Barbárie,Documentário,Brasileira,Caliban,19
380,2010,Cabeça A Prêmio,Ficção,Brasileira,Europa,19
361,2010,Ao Sul Da Fronteira,Documentário,Estrangeira,Europa,19
407,2010,Destinos Ligados,Ficção,Estrangeira,Playarte,19
82,2009,Coco Antes De Chanel,Ficção,Estrangeira,Warner,19
458,2010,Lissi E O Reino Dos Birutas,Animação,Estrangeira,Serendip,19
824,2011,O Garoto Da Bicicleta,Ficção,Estrangeira,Imovision,18
174,2009,Loki - Arnaldo Baptista,Documentário,Brasileira,Canal Brasil,18
502,2010,O Garoto De Liverpool,Ficção,Estrangeira,Imagem,18
511,2010,O Mensageiro (2010),Ficção,Estrangeira,Paris,18
392,2010,Coco Chanel & Igor Stravinsky,Ficção,Estrangeira,Imovision,18
753,2011,"Filhos De João, Admirável Mundo Novo Baiano",Documentário,Brasileira,Pipa Produções,18
27,2009,A Teta Assustada,Ficção,Estrangeira,Paris,18
468,2010,Mary E Max - Uma Amizade Diferente,Animação,Estrangeira,Playarte,18
466,2010,Maré De Azar,Ficção,Estrangeira,Paris,18
296,2009,Uma Canção De Amor,Ficção,Estrangeira,Paris,17
193,2009,"Nova York, Eu Te Amo",Ficção,Estrangeira,Califórnia,17
