,Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
893,2011,Ricky,Ficção,Estrangeira,Califórnia,1
857,2011,Os Residentes,Ficção,Brasileira,Vitrine Filmes,1
114,2009,Entre Os Dedos,Ficção,Brasileira,Polifilmes,1
69,2009,Br-3 - A Peça,Documentário,Brasileira,Casa Azul,1
64,2009,"Beijo Na Boca, Não!",Ficção,Estrangeira,Pandora Filmes,1
63,2009,Batatinha Poeta Do Samba,Documentário,Brasileira,Portfolium Laboratório De Imagens,1
36,2009,Adagio Sostenuto,Ficção,Brasileira,Pipa Produções,1
882,2011,Quebradeiras,Documentário,Brasileira,Raiz Distribuidora,1
9,2009,A Erva Do Rato,Ficção,Brasileira,República Pureza,1
55,2009,As Testemunhas,Ficção,Estrangeira,Filmes Do Estação,1
45,2009,American Teen,Documentário,Estrangeira,Paris,1
117,2009,Estação Espacial 3D,Documentário,Estrangeira,Espaço Itaú De Cinema,1
894,2011,Rio,Animação,Estrangeira,Fox,1
648,2011,A Saga Crepúsculo: Amanhecer - Parte 2,Ficção,Estrangeira,Paris,1
40,2009,Alguns Motivos Para Não Se Apaixonar,Ficção,Estrangeira,Panda Filmes,1
90,2009,"De Repente, California",Ficção,Estrangeira,Ab Filmes,1
865,2011,Para Poucos,Ficção,Estrangeira,Imovision,1
714,2011,Corumbiara,Documentário,Brasileira,Panda Filmes,1
489,2010,O Abraço Corporativo,Documentário,Brasileira,Idéia Forte,1
487,2010,Nos Embalos Da Disco,Ficção,Estrangeira,Pandora Filmes,1
476,2010,"Morgue Story - Sangue, Baiacu E Quadrinhos",Ficção,Brasileira,Moro Comunicação,1
472,2010,Micmacs - Um Plano Complicado,Ficção,Estrangeira,Sony,1
885,2011,Rádio Nacional,Documentário,Brasileira,Business Telecom,1
430,2010,Fluidos,Ficção,Brasileira,Polifilmes,1
416,2010,Elevado 3.5,Documentário,Brasileira,Espaço Filmes,1
462,2010,Luzes Na Escuridão,Ficção,Estrangeira,Pandora Filmes,1
411,2010,Doce Brasil Holandês,Documentário,Brasileira,M. Schmiedt Produções,1
405,2010,"Depois De Ontem, Antes De Amanhã",Documentário,Brasileira,Vega Filmes,1
729,2011,Domingos,Documentário,Brasileira,Gávea Filmes E Produções,1
669,2011,As Praias De Agnès,Documentário,Estrangeira,Filmes Do Estação,1
118,2009,Estórias De Trancoso,Ficção,Brasileira,Polifilmes,1
318,2010,3 Homens E Uma Noite Fria,Ficção,Estrangeira,Imovision,1
74,2009,Caro Sr. Horten,Ficção,Estrangeira,Imovision,1
406,2010,Desejo E Poder,Ficção,Estrangeira,Moviemobz,1
189,2009,Naufrágio - Mistério E Morte Na Catástrofe Do Príncipe De Astúrias,Documentário,Brasileira,Master Shot Produções,0
854,2011,Os Muppets,Ficção,Estrangeira,Disney,0
872,2011,Porta A Porta – A Política Em Dois Tempos,Documentário,Brasileira,Zéfiro Produções,0
132,2009,Fumando Espero,Documentário,Brasileira,Gávea Filmes E Produções,0
651,2011,A Última Estrada Da Praia,Ficção,Brasileira,Okna Produções,0
282,2009,Tony Manero,Ficção,Estrangeira,Imovision,0
302,2009,"Vamos Subir, Leão",Documentário,Brasileira,Canal 3,0
461,2010,Luto Como Mãe,Documentário,Brasileira,Tv Zero Cinema,0
869,2011,Poema De Salvação,Ficção,Estrangeira,Canzión Filmes,0
